task_id,fixture_group,fixture_name,fixture_evidence_scope,live_replayed,expected_case_class,frozen_expectation,audit_status,normalized_score,pass,frozen_contract_ok,saved_validation_score,saved_validation_pass,saved_validation_status,saved_validation_match,expectation_basis,threshold_risk,criterion_scores,failure_codes,evaluator_status,evaluator_sha256,judge_binding_manifest_sha256,error,elapsed_seconds
P15-A-ENG-SIZING-001,reference,reference,LIVE_PHYSICAL_REPLAY,True,positive,"[""eq:1.0"",""pass:true""]",SCORE_REPLAYED,1.0,True,True,1.0,True,OK,True,Reference implementation must pass.,False,"{""R001"":1.0,""R002"":1.0,""R003"":1.0,""R004"":1.0,""R005"":1.0,""R006"":1.0,""R007"":1.0,""R008"":1.0,""R009"":1.0,""R010"":1.0,""R011"":1.0,""R012"":1.0}",[],SCORED,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.1108
P15-A-ENG-SIZING-001,equivalent,candidate_equivalent,LIVE_PHYSICAL_REPLAY,True,positive,"[""ge:0.95"",""pass:true""]",SCORE_REPLAYED,1.0,True,True,1.0,True,OK,True,Algebraically equivalent formulas must pass.,False,"{""R001"":1.0,""R002"":1.0,""R003"":1.0,""R004"":1.0,""R005"":1.0,""R006"":1.0,""R007"":1.0,""R008"":1.0,""R009"":1.0,""R010"":1.0,""R011"":1.0,""R012"":1.0}",[],SCORED,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.1129
P15-A-ENG-SIZING-001,equivalent,candidate_v3_three_sheet_layout,LIVE_PHYSICAL_REPLAY,True,positive,"[""ge:0.95"",""pass:true""]",SCORE_REPLAYED,1.0,True,True,1.0,True,OK,True,Three semantically labeled sheets satisfy the task without the reference sheet names.,False,"{""R001"":1.0,""R002"":1.0,""R003"":1.0,""R004"":1.0,""R005"":1.0,""R006"":1.0,""R007"":1.0,""R008"":1.0,""R009"":1.0,""R010"":1.0,""R011"":1.0,""R012"":1.0}",[],SCORED,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.1084
P15-A-ENG-SIZING-001,noop,noop,LIVE_PHYSICAL_REPLAY,True,negative,"[""pass:false""]",SCORE_REPLAYED,0.166667,False,True,0.166667,False,OK,True,An unchanged blank calculation block does not complete the task.,False,"{""R001"":1.0,""R002"":0.0,""R003"":0.0,""R004"":0.0,""R005"":0.0,""R006"":0.0,""R007"":0.0,""R008"":0.0,""R009"":1.0,""R010"":0.0,""R011"":1.0,""R012"":0.0}","[""CHECK_ROW_EVALUATION_FAILED:TypeError"",""FORMULA_REQUIRED:Calculations!B10"",""FORMULA_REQUIRED:Calculations!B11"",""FORMULA_REQUIRED:Calculations!B4"",""FORMULA_REQUIRED:Calculations!B5"",""FORMULA_REQUIRED:Calculations!B6"",""FORMULA_REQUIRED:Calculations!B7"",""FORMULA_REQUIRED:Calculations!B8"",""FORMULA_REQUIRED:Calculations!B9"",""FORMULA_REQUIRED:Unit_Conversions!C4"",""FORMULA_REQUIRED:Unit_Conversions!C5"",""FORMULA_REQUIRED:Unit_Conversions!C6"",""SIZING_VALUE_MISMATCH:Calculations!B10"",""SIZING_VALUE_MISMATCH:Calculations!B11"",""SIZING_VALUE_MISMATCH:Calculations!B4"",""SIZING_VALUE_MISMATCH:Calculations!B5"",""SIZING_VALUE_MISMATCH:Calculations!B6"",""SIZING_VALUE_MISMATCH:Calculations!B7"",""SIZING_VALUE_MISMATCH:Calculations!B8"",""SIZING_VALUE_MISMATCH:Calculations!B9"",""SIZING_VALUE_MISMATCH:Unit_Conversions!C4"",""SIZING_VALUE_MISMATCH:Unit_Conversions!C5"",""SIZING_VALUE_MISMATCH:Unit_Conversions!C6""]",SCORED,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.1051
P15-A-ENG-SIZING-001,malformed,malformed,LIVE_PHYSICAL_REPLAY,True,negative,"[""eq:0.0"",""pass:false""]",SCORE_REPLAYED,0.0,False,True,0.0,False,OK,True,A non-workbook cannot pass.,False,"{""R001"":0.0,""R002"":0.0,""R003"":0.0,""R004"":0.0,""R005"":0.0,""R006"":0.0,""R007"":0.0,""R008"":0.0,""R009"":0.0,""R010"":0.0,""R011"":0.0,""R012"":0.0}","[""MALFORMED_XLSX:BadZipFile""]",SCORED,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.0995
P15-A-ENG-SIZING-001,mutant,constant_formula_flow,LIVE_PHYSICAL_REPLAY,True,negative,"[""pass:false""]",SCORE_REPLAYED,0.916667,False,True,0.916667,False,OK,True,The seeded engineering defect must prevent a pass.,True,"{""R001"":1.0,""R002"":1.0,""R003"":1.0,""R004"":1.0,""R005"":1.0,""R006"":1.0,""R007"":1.0,""R008"":0.0,""R009"":1.0,""R010"":1.0,""R011"":1.0,""R012"":1.0}",[],SCORED,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.1145
P15-A-ENG-SIZING-001,mutant,millimeter_conversion_error,LIVE_PHYSICAL_REPLAY,True,negative,"[""pass:false""]",SCORE_REPLAYED,0.458333,False,True,0.458333,False,OK,True,The seeded engineering defect must prevent a pass.,False,"{""R001"":1.0,""R002"":0.0,""R003"":0.0,""R004"":0.0,""R005"":0.0,""R006"":1.0,""R007"":1.0,""R008"":0.0,""R009"":1.0,""R010"":1.0,""R011"":1.0,""R012"":0.0}","[""SIZING_VALUE_MISMATCH:Calculations!B11"",""SIZING_VALUE_MISMATCH:Calculations!B4"",""SIZING_VALUE_MISMATCH:Calculations!B5"",""SIZING_VALUE_MISMATCH:Calculations!B6"",""SIZING_VALUE_MISMATCH:Calculations!B7"",""SIZING_VALUE_MISMATCH:Calculations!B8"",""SIZING_VALUE_MISMATCH:Calculations!B9"",""SIZING_VALUE_MISMATCH:Unit_Conversions!C5"",""SIZING_VALUE_MISMATCH:Unit_Conversions!C6""]",SCORED,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.1096
P15-A-ENG-SIZING-001,mutant,omitted_safety_factor,LIVE_PHYSICAL_REPLAY,True,negative,"[""pass:false""]",SCORE_REPLAYED,0.541667,False,True,0.541667,False,OK,True,The seeded engineering defect must prevent a pass.,False,"{""R001"":1.0,""R002"":1.0,""R003"":0.0,""R004"":0.0,""R005"":0.0,""R006"":1.0,""R007"":1.0,""R008"":0.0,""R009"":1.0,""R010"":0.0,""R011"":1.0,""R012"":0.0}","[""SIZING_VALUE_MISMATCH:Calculations!B11"",""SIZING_VALUE_MISMATCH:Calculations!B7"",""SIZING_VALUE_MISMATCH:Calculations!B8"",""SIZING_VALUE_MISMATCH:Calculations!B9""]",SCORED,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.109
P15-A-ENG-SIZING-001,mutant,percentage_fraction_error,LIVE_PHYSICAL_REPLAY,True,negative,"[""pass:false""]",SCORE_REPLAYED,0.291667,False,True,0.291667,False,OK,True,The seeded engineering defect must prevent a pass.,False,"{""R001"":1.0,""R002"":1.0,""R003"":0.0,""R004"":0.0,""R005"":0.0,""R006"":0.0,""R007"":0.0,""R008"":0.0,""R009"":1.0,""R010"":0.0,""R011"":1.0,""R012"":0.0}","[""SIZING_VALUE_MISMATCH:Calculations!B11"",""SIZING_VALUE_MISMATCH:Calculations!B7"",""SIZING_VALUE_MISMATCH:Calculations!B8"",""SIZING_VALUE_MISMATCH:Calculations!B9""]",SCORED,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.1069
P15-A-ENG-SIZING-001,mutant,wrong_candidate_selection,LIVE_PHYSICAL_REPLAY,True,negative,"[""pass:false""]",SCORE_REPLAYED,0.75,False,True,0.75,False,OK,True,The seeded engineering defect must prevent a pass.,True,"{""R001"":1.0,""R002"":1.0,""R003"":1.0,""R004"":1.0,""R005"":1.0,""R006"":1.0,""R007"":0.0,""R008"":0.0,""R009"":1.0,""R010"":1.0,""R011"":1.0,""R012"":0.0}",[],SCORED,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649,7fccc4edac8f8d65742fa0d1b63ba462b892cb1a3d64d3683691765920da0955,,0.1042
